"Species","SeenBy","Year"
"Anna's Hummingbird","E",2012
"Northern Flicker","E",2012
"Northwestern Crow","E",2012
"Tree Swallow","E",2012
"Violet-green Swallow","E",2012
"Black-capped Chickadee","E",2012
"Bewick's Wren","E",2012
"Marsh Wren","E",2012
"Ruby-crowned Kinglet","E",2012
"American Robin","E",2012
"Yellow-rumped Warbler","E",2012
"Savannah Sparrow","E",2012
"Song Sparrow","E",2012
"Red-winged Blackbird","E",2012
"House Finch","E",2012
"Pine Siskin","E",2012
"American Goldfinch","E",2012
"Canada Goose","E",2014
"Gadwall","E",2014
"American Wigeon","E",2014
"Mallard","E",2014
"Northern Shoveler","E",2014
"Pied-billed Grebe","L",2014
"Great Blue Heron","E",2014
"Bald Eagle","E",2014
"Killdeer","E",2014
"Glaucous-winged Gull","L",2014
"Anna's Hummingbird","E",2014
"Northwestern Crow","E",2014
"Tree Swallow","E",2014
"Violet-green Swallow","L",2014
"Barn Swallow","E",2014
"Marsh Wren","L",2014
"American Robin","E",2014
"European Starling","E",2014
"Orange-crowned Warbler","L",2014
"Common Yellowthroat","L",2014
"Spotted Towhee","L",2014
"Savannah Sparrow","E",2014
"Song Sparrow","E",2014
"White-crowned Sparrow","L",2014
"Red-winged Blackbird","E",2014
"House Finch","E",2014
"American Goldfinch","E",2014
"Canada Goose","E",2016
"Gadwall","E",2016
"Mallard","E",2016
"Ring-necked Duck","E",2016
"Bufflehead","E",2016
"Pied-billed Grebe","E",2016
"Double-crested Cormorant","E",2016
"Great Blue Heron","E",2016
"Osprey","E",2016
"Bald Eagle","E",2016
"Virginia Rail","L",2016
"Glaucous-winged Gull","L",2016
"Anna's Hummingbird","E",2016
"Northern Flicker","L",2016
"Northwestern Crow","E",2016
"Tree Swallow","E",2016
"Violet-green Swallow","E",2016
"Barn Swallow","E",2016
"Cliff Swallow","E",2016
"Bushtit","L",2016
"Brown Creeper","L",2016
"Marsh Wren","E",2016
"American Robin","E",2016
"Common Yellowthroat","L",2016
"Dark-eyed Junco","L",2016
"White-crowned Sparrow","E",2016
"Savannah Sparrow","E",2016
"Song Sparrow","E",2016
"Spotted Towhee","L",2016
"Red-winged Blackbird","E",2016
"House Finch","L",2016
"American Goldfinch","L",2016
"Canada Goose","E",2017
"Gadwall","E",2017
"American Wigeon","E",2017
"Mallard","E",2017
"Cinnamon Teal","E",2017
"Northern Shoveler","E",2017
"Green-winged Teal","E",2017
"Ring-necked Duck","L",2017
"Bufflehead","E",2017
"Common Goldeneye","L",2017
"Common Merganser","E",2017
"Pied-billed Grebe","E",2017
"Double-crested Cormorant","E",2017
"Great Blue Heron","E",2017
"Osprey","L",2017
"Bald Eagle","E",2017
"American Coot","E",2017
"Killdeer","E",2017
"Glaucous-winged Gull","E",2017
"Anna's Hummingbird","E",2017
"Northwestern Crow","E",2017
"Tree Swallow","E",2017
"Violet-green Swallow","L",2017
"Black-capped Chickadee","E",2017
"Marsh Wren","L",2017
"American Robin","E",2017
"Yellow-rumped Warbler","E",2017
"White-crowned Sparrow","E",2017
"Savannah Sparrow","E",2017
"Spotted Towhee","L",2017
"Red-winged Blackbird","E",2017
"House Finch","L",2017
"American Goldfinch","L",2017
"Cedar Waxwing","L",2017
"Canada Goose","E",2019
"Northern Shoveler","E",2019
"Gadwall","E",2019
"American Wigeon","L",2019
"Mallard","E",2019
"Green-winged Teal","E",2019
"Ring-necked Duck","E",2019
"Bufflehead","E",2019
"Pied-billed Grebe","E",2019
"Killdeer","E",2019
"Glaucous-winged Gull","E",2019
"Double-crested Cormorant","E",2019
"Bald Eagle","E",2019
"Northern Flicker","E",2019
"Northwestern Crow","E",2019
"Violet-green Swallow","L",2019
"Black-capped Chickadee","L",2019
"Marsh Wren","L",2019
"American Robin","E",2019
"Sage Thrasher","E",2019
"House Finch","L",2019
"Dark-eyed Junco","E",2019
"White-crowned Sparrow","E",2019
"Golden-crowned Sparrow","E",2019
"Savannah Sparrow","E",2019
"Song Sparrow","E",2019
"Red-winged Blackbird","E",2019
"Common Yellowthroat","L",2019
"Yellow-rumped Warbler","L",2019
